Short-term-ec,Short-term-ad,Long-term-ec,Long-term-ad,Long-term-ec year,Long-term-ad year
-10.608992,-51.25406311,-2.711741649,1.249028187,1.288026181,-1.003788602
-14.70461973,-100,-1.758445348,6.8,1.070988295,3.046058938
0.900110143,-7.66740654,-2.35977958,-4.402930073,1.743968514,0.868677028
-6.398531576,-2.225317382,-0.136747436,-0.124810309,0.349962586,3.762822907
-13.27773989,-7.076821284,-6.593201267,-5.681680106,3.157017383,0.820915683
-1.417786235,0.97694341,-2.40960672,-2.517933724,3.35545437,0.072295415
-0.936392656,-33.15259294,-1.291536654,-0.173498597,2.838548418,3.214282305
-2.19407968,-13.96507732,-4.05286795,-6.488718317,2.750666647,5.340275074
-3.943460986,-2.90803268,-1.419191583,-3.751762652,1.616515101,5.352206019
-108,0,-0.5,0,0.238095238,0
-7.543159553,2.794231261,-5.799847815,1.045016035,1.691818569,3.129894964
-5.792719692,22.51513858,-6.882348328,-2.737858586,2.294877148,-4.196650864
-7.120859265,3.543820212,-14.21308026,5.964287301,2.899824781,4.663625145
-12.35617414,-3.311114546,-4.708241263,-1.584792237,1.034078995,5.436429003
-48.03129245,-10.68766217,-1.059353709,-8.404956386,0.156022964,3.498858237
-14.08402183,-6.74333872,-9.985866071,-1.963055642,1.517136337,3.978183079
-5.129648471,-10.39721222,-1.937966991,-1.192309204,1.679986814,1.284082281
1.898955248,1.868028457,1.829122058,-1.706305027,-1.248090397,15
18.7609514,,0.230911547,,1.570067893,
10.21921317,,1.673115072,,-1.038123704,
22.32663015,,0.506075387,,-0.173538263,
-8.177706173,,0.132437846,,0.23343393,
-14.46118365,,-7.596466131,,2.199561782,
-10.05814725,,-7.038689425,,1.69112962,
-21.22454894,,-4.886373111,,1.084085298,
2.257634525,,-4.941240483,,1.999314571,
16.29586168,,-5.364945697,,0.540090774,
,,,,,
-6.398531576,-5.027226633,-2.40960672,-1.645548632,1.570067893,3.172088635
