predicted1,true1,predicted2,true2,predicted3,true3
79.252472,79,48.90017,51,43.1,43.3
71.414139,76,49.76567,51,,
51.19104,51,46.65392,44,,
80.768784,77,39.81113,39,,
77.848091,83,30.2275,51,,
67.888824,70,39.78004,39,,
48.900169,51,34.42896,28,,
65.456146,61,30.07631,17,,
53.629116,56,36.21436,37,,
89.176682,91,39.61746,35,,
68.072777,70,30.34599,31,,
87.949936,90,31.20701,27,,
70.503372,70,33.75947,34,,
79.436951,81,36.40415,30,,
50.372036,46,42.66724,65,,
49.765671,51,30.29716,32,,
79.829651,79,35.56405,36,,
83.192581,75,36.84157,39,,
70.110283,61,32.08507,47,,
46.653915,44,31.0269,31,,
75.703842,75,37.49653,38,,
55.525883,54,33.53337,36,,
52.471775,49,45.57584,44,,
53.071327,56,33.76795,31,,
59.56609,59,35.56498,33,,
72.685287,85,35.89429,39,,
57.666363,60,35.7159,36,,
82.993324,84,34.18081,30,,
69.307526,91,32.20661,25,,
86.00029,88,37.55978,35,,
57.036823,45,42.59011,42,,
39.811127,39,44.39692,44,,
56.232224,63,30.75507,28,,
62.383244,64,35.97155,38,,
64.219833,71,30.73729,31,,
50.489796,52,41.86594,38,,
54.24633,55,32.28195,21,,
89.687546,85,38.19339,36,,
30.227505,51,31.44237,36,,
60.66552,60,32.77651,32,,
54.200096,58,37.25858,35,,
76.896339,89,31.86381,29,,
84.17942,86,40.75145,38,,
39.780041,39,46.59418,63,,
68.962196,70,39.81705,38,,
75.184982,81,31.62998,41,,
68.852058,76,36.11961,37,,
63.365402,74,39.32685,37,,
7.469335,11,41.58108,47,,
24.021723,37,37.33467,33,,
29.507807,38,35.94837,32,,
21.380003,21,38.64178,34,,
24.330286,24,48.26608,52,,
28.660416,22,34.81712,28,,
26.317856,22,32.90532,29,,
25.015682,33,31.69026,16,,
34.428955,28,34.31264,41,,
26.559704,25,39.95424,28,,
30.076311,17,32.66177,28,,
24.888611,17,41.82247,50,,
36.214363,37,42.91224,31,,
29.032997,28,41.91046,44,,
27.080816,31,43.83046,42,,
39.617462,35,37.37169,27,,
30.345991,31,35.6277,36,,
31.207006,27,42.47964,46,,
33.759468,34,30.37433,29,,
26.267334,54,42.85705,40,,
27.637569,29,30.2806,44,,
23.126921,15,36.56309,37,,
27.655018,26,34.03402,36,,
36.404152,30,39.30365,38,,
27.199471,32,44.3334,42,,
27.434256,25,31.38021,18,,
21.178278,18,,,,
28.699242,15,,,,
25.013388,25,,,,
42.667236,65,,,,
55.985489,55,,,,
26.592703,21,,,,
28.069387,27,,,,
25.95286,26,,,,
28.858543,23,,,,
30.297155,32,,,,
35.564049,36,,,,
36.841568,39,,,,
32.085072,47,,,,
31.026901,31,,,,
37.496532,38,,,,
33.533367,36,,,,
24.104937,25,,,,
23.832335,28,,,,
26.997541,25,,,,
45.575844,44,,,,
33.767948,31,,,,
35.564976,33,,,,
35.894295,39,,,,
35.715897,36,,,,
24.15951,22,,,,
28.192677,27,,,,
29.068302,26,,,,
34.180813,30,,,,
32.206612,25,,,,
37.559784,35,,,,
42.590107,42,,,,
44.396919,44,,,,
19.585625,12,,,,
30.75507,28,,,,
35.971546,38,,,,
27.293905,27,,,,
15.051461,19,,,,
30.737288,31,,,,
41.865936,38,,,,
32.281952,21,,,,
38.193394,36,,,,
31.442368,36,,,,
32.776508,32,,,,
37.258579,35,,,,
31.86381,29,,,,
29.511368,32,,,,
40.75145,38,,,,
46.594185,63,,,,
39.817055,38,,,,
31.629976,41,,,,
36.119614,37,,,,
39.326855,37,,,,
54.3522,55,,,,
41.581078,47,,,,
37.334667,33,,,,
35.948368,32,,,,
38.641785,34,,,,
48.266079,52,,,,
34.81712,28,,,,
32.905315,29,,,,
26.944975,27,,,,
31.69026,16,,,,
34.312637,41,,,,
27.513689,53,,,,
39.954243,28,,,,
32.661766,28,,,,
23.487698,16,,,,
41.822472,50,,,,
54.022148,53,,,,
42.912243,31,,,,
41.910458,44,,,,
53.522915,53,,,,
43.83046,42,,,,
37.371685,27,,,,
35.627697,36,,,,
42.479645,46,,,,
30.374327,29,,,,
42.857052,40,,,,
30.280602,44,,,,
36.563091,37,,,,
34.034023,36,,,,
39.303654,38,,,,
44.333405,42,,,,
31.380205,18,,,,
