Year,Index,SDG,min,median,max,
2019,1,Overall score,100,100,100,1
2020,1,Overall score,89.07525838,96.42378691,102.394658,35
2021,1,Overall score,95.06838646,99.37238399,104.393028,69
2022,1,Overall score,95.89903352,100.2891256,105.067688,103
2023,1,Overall score,96.75485392,101.2712914,106.10812,137
2024,1,Overall score,97.55649808,102.066173,106.752639,171
2019,2,Overall score,100,100,100,18
2020,2,Overall score,96.37977155,101.220069,105.842371,52
2021,2,Overall score,96.89627114,101.9058139,106.327494,86
2022,2,Overall score,97.67358594,102.5166067,106.963472,120
2023,2,Overall score,98.48580253,103.3153437,107.817396,154
2024,2,Overall score,98.99028965,103.7734088,108.261422,188
2019,1,SDG 1,100,100,100,2
2020,1,SDG 1,82.92899473,90.67140704,95.852631,36
2021,1,SDG 1,92.87177003,98.42190244,102.896591,70
2022,1,SDG 1,97.31926199,102.0811516,106.053191,104
2023,1,SDG 1,99.10779331,104.6944,109.693281,138
2024,1,SDG 1,101.4176179,107.3262053,112.122216,172
2019,2,SDG 1,100,100,100,19
2020,2,SDG 1,95.96473113,101.793252,105.81857,53
2021,2,SDG 1,97.9266318,103.0749367,107.561934,87
2022,2,SDG 1,100.6416726,106.5287062,111.204677,121
2023,2,SDG 1,103.5329867,109.8467363,115.576295,155
2024,2,SDG 1,104.6315193,110.0076842,116.05244,189
2019,1,SDG 10,100,100,100,10
2020,1,SDG 10,93.48885983,96.3662733,100.897264,44
2021,1,SDG 10,98.0346217,99.85248679,102.857022,78
2022,1,SDG 10,98.6719333,100.9348186,103.711798,112
2023,1,SDG 10,99.58446568,102.4773807,104.560834,146
2024,1,SDG 10,101.5558092,106.417942,106.415132,180
2019,2,SDG 10,100,100,100,27
2020,2,SDG 10,98.84100062,103.0124468,104.398736,61
2021,2,SDG 10,100.5500286,104.9541312,105.731865,95
2022,2,SDG 10,101.2813727,106.3093411,106.414775,129
2023,2,SDG 10,101.9675277,108.2642366,107.368796,163
2024,2,SDG 10,103.9600532,112.1917225,109.392638,197
2019,1,SDG 11,100,100,100,11
2020,1,SDG 11,93.13904687,99.43130437,104.540351,45
2021,1,SDG 11,94.44414994,101.3280939,106.189289,79
2022,1,SDG 11,95.65173582,102.1675356,106.386129,113
2023,1,SDG 11,95.96526882,102.6645028,106.173247,147
2024,1,SDG 11,95.61357719,102.8087313,105.961894,181
2019,2,SDG 11,100,100,100,28
2020,2,SDG 11,95.65379945,103.124291,107.683843,62
2021,2,SDG 11,97.0253552,104.3045943,108.048558,96
2022,2,SDG 11,97.38023719,104.2630996,107.520095,130
2023,2,SDG 11,97.32826123,104.6177572,107.299614,164
2024,2,SDG 11,96.80146266,104.4164234,106.762049,198
2019,1,SDG 12,100,100,100,12
2020,1,SDG 12,104.0433761,109.8332228,116.639245,46
2021,1,SDG 12,97.32358698,100.3636361,104.935936,80
2022,1,SDG 12,94.97665167,98.12856009,102.02669,114
2023,1,SDG 12,94.89291168,98.11000932,101.840361,148
2024,1,SDG 12,95.12961597,98.51805569,102.109776,182
2019,2,SDG 12,100,100,100,29
2020,2,SDG 12,95.84030179,99.2809217,102.990155,63
2021,2,SDG 12,95.80525004,99.59810299,103.560727,97
2022,2,SDG 12,95.15013372,98.6015629,102.486372,131
2023,2,SDG 12,94.55747948,98.04995041,101.476068,165
2024,2,SDG 12,92.84321289,97.58308478,101.691668,199
2019,1,SDG 13,100,100,100,13
2020,1,SDG 13,102.7432374,106.1542026,115.206462,47
2021,1,SDG 13,99.71697574,98.72517577,112.697164,81
2022,1,SDG 13,97.06671443,97.67500736,108.689437,115
2023,1,SDG 13,96.70719902,97.39255111,108.491763,149
2024,1,SDG 13,94.82265362,96.60114197,106.977394,183
2019,2,SDG 13,100,100,100,30
2020,2,SDG 13,95.58373267,97.33575142,106.438991,64
2021,2,SDG 13,92.67373846,95.41753582,105.092354,98
2022,2,SDG 13,93.44481754,94.94498916,104.691444,132
2023,2,SDG 13,93.22580803,93.99713351,104.096839,166
2024,2,SDG 13,92.79351787,92.87672141,102.218359,200
2019,1,SDG 14,100,100,100,14
2020,1,SDG 14,96.28016822,121.7554876,128.868479,48
2021,1,SDG 14,89.94761963,97.15667982,109.939999,82
2022,1,SDG 14,86.4052133,90.15393391,106.254916,116
2023,1,SDG 14,84.79312074,87.62093491,104.01783,150
2024,1,SDG 14,83.81319024,82.97413437,101.091318,184
2019,2,SDG 14,100,100,100,31
2020,2,SDG 14,88.47947268,97.76902515,108.894006,65
2021,2,SDG 14,85.90735666,97.22672105,105.178804,99
2022,2,SDG 14,85.1874196,92.34041099,103.746916,133
2023,2,SDG 14,82.46086654,86.23429664,99.9441366,167
2024,2,SDG 14,82.00131042,82.15672443,99.5591927,201
2019,1,SDG 15,100,100,100,15
2020,1,SDG 15,82.28785367,98.03556767,103.055429,49
2021,1,SDG 15,97.50732927,100.4498957,106.451632,83
2022,1,SDG 15,98.48856002,103.2086769,107.507014,117
2023,1,SDG 15,99.53655703,103.2120194,108.687578,151
2024,1,SDG 15,99.66919957,102.9073734,109.500366,185
2019,2,SDG 15,100,100,100,32
2020,2,SDG 15,96.02899034,99.33,106.011784,66
2021,2,SDG 15,98.56761427,101.7659853,107.854095,100
2022,2,SDG 15,99.56886407,103.9039718,109.318161,134
2023,2,SDG 15,100.7153595,104.8623772,110.216444,168
2024,2,SDG 15,100.9468381,104.5519489,110.6773,202
2019,1,SDG 16,100,100,100,16
2020,1,SDG 16,84.75360977,88.34512429,91.9353623,50
2021,1,SDG 16,96.1091435,97.18667466,98.4076339,84
2022,1,SDG 16,97.83441211,99.2784156,100.240422,118
2023,1,SDG 16,99.690149,100.7118498,101.872551,152
2024,1,SDG 16,100.1714089,101.1364499,102.36756,186
2019,2,SDG 16,100,100,100,33
2020,2,SDG 16,99.80205888,100.7550979,101.978409,67
2021,2,SDG 16,99.90364834,100.809665,102.248554,101
2022,2,SDG 16,100.6992926,101.7701329,102.997066,135
2023,2,SDG 16,101.6077957,102.4739222,103.699216,169
2024,2,SDG 16,101.6516092,102.6980608,103.813747,203
2019,1,SDG 17,100,100,100,17
2020,1,SDG 17,86.16057977,96.42378691,100.439889,51
2021,1,SDG 17,91.92235871,99.37238399,104.973064,85
2022,1,SDG 17,94.19475794,100.2891256,106.335207,119
2023,1,SDG 17,95.05123583,101.2712914,107.447746,153
2024,1,SDG 17,96.75470078,102.066173,108.44951,187
2019,2,SDG 17,100,100,100,34
2020,2,SDG 17,94.52152693,101.220069,106.578606,68
2021,2,SDG 17,96.0247732,101.9058139,108.18887,102
2022,2,SDG 17,96.68456578,102.5166067,108.894316,136
2023,2,SDG 17,97.45676002,103.3153437,110.268415,170
2024,2,SDG 17,99.46020247,103.7734088,111.764692,204
2019,1,SDG 2,100,100,100,3
2020,1,SDG 2,77.7156285,85.79126359,94.6710691,37
2021,1,SDG 2,98.62604676,101.2664358,105.248346,71
2022,1,SDG 2,100.6427453,103.0631074,106.916403,105
2023,1,SDG 2,101.3396193,104.0887876,107.019323,139
2024,1,SDG 2,103.490201,105.9934538,109.252295,173
2019,2,SDG 2,100,100,100,20
2020,2,SDG 2,100.0859123,102.8322819,106.151145,54
2021,2,SDG 2,101.0305301,103.3534449,106.836127,88
2022,2,SDG 2,101.6662955,104.4765056,107.896827,122
2023,2,SDG 2,103.3259291,106.1752025,109.535337,156
2024,2,SDG 2,104.620284,107.4653807,111.331095,190
2019,1,SDG 3,100,100,100,4
2020,1,SDG 3,90.19573019,95.8590089,101.692532,38
2021,1,SDG 3,93.25360275,97.64398294,102.486988,72
2022,1,SDG 3,95.26370971,100.2217248,105.88855,106
2023,1,SDG 3,97.0481629,101.8484935,107.712882,140
2024,1,SDG 3,97.76844493,103.1218296,108.809671,174
2019,2,SDG 3,100,100,100,21
2020,2,SDG 3,96.90527228,101.9683041,107.562469,55
2021,2,SDG 3,97.78333198,102.6099999,108.338339,89
2022,2,SDG 3,98.36886233,103.1297645,108.494211,123
2023,2,SDG 3,98.64412306,103.7888111,109.435873,157
2024,2,SDG 3,99.06160914,103.9257176,109.264049,191
2019,1,SDG 4,100,100,100,5
2020,1,SDG 4,74.74756917,89.61185603,101.465937,39
2021,1,SDG 4,83.02263204,94.62718515,104.840663,73
2022,1,SDG 4,85.49005999,98.74471222,108.18586,107
2023,1,SDG 4,87.48087264,102.5795624,113.351622,141
2024,1,SDG 4,89.31509798,104.6129897,114.21517,175
2019,2,SDG 4,100,100,100,22
2020,2,SDG 4,88.69406974,103.2185875,113.061721,56
2021,2,SDG 4,87.51456273,102.412176,112.794239,90
2022,2,SDG 4,90.67890029,104.5345374,115.294223,124
2023,2,SDG 4,95.59929834,109.599988,120.895134,158
2024,2,SDG 4,95.5423473,110.4226302,120.233034,192
2019,1,SDG 6,100,100,100,6
2020,1,SDG 6,95.21724155,97.33752158,99.6535969,40
2021,1,SDG 6,97.39916046,98.76418539,100.234596,74
2022,1,SDG 6,98.3210705,99.58360934,101.045436,108
2023,1,SDG 6,99.21372529,100.567634,101.872713,142
2024,1,SDG 6,99.99179983,101.3645579,102.63228,176
2019,2,SDG 6,100,100,100,23
2020,2,SDG 6,99.18099754,100.3910339,101.821824,57
2021,2,SDG 6,100.1108639,101.4734834,102.820956,91
2022,2,SDG 6,100.4279255,101.7799094,103.136002,125
2023,2,SDG 6,100.9291132,102.2880319,103.501524,159
2024,2,SDG 6,101.3803453,102.6479673,103.922194,193
2019,1,SDG 7,100,100,100,7
2020,1,SDG 7,94.53353281,96.96684073,99.1890628,41
2021,1,SDG 7,97.09808415,98.15161579,99.0346325,75
2022,1,SDG 7,97.93822638,98.99397005,99.9605371,109
2023,1,SDG 7,99.29310981,100.3188977,101.125221,143
2024,1,SDG 7,100.3565775,101.2904319,102.267227,177
2019,2,SDG 7,100,100,100,24
2020,2,SDG 7,99.2905813,100.2369946,101.152309,58
2021,2,SDG 7,100.1149952,101.0196784,101.998282,92
2022,2,SDG 7,100.2088362,101.2249606,102.089813,126
2023,2,SDG 7,100.7327274,101.7081552,102.582484,160
2024,2,SDG 7,101.1933565,102.0516796,102.976788,194
2019,1,SDG 8,100,100,100,8
2020,1,SDG 8,78.54707204,80.12766019,81.6424447,42
2021,1,SDG 8,99.04094887,103.1327272,101.509922,76
2022,1,SDG 8,100.6013651,103.1822614,102.946818,110
2023,1,SDG 8,101.3470167,103.964274,103.542286,144
2024,1,SDG 8,102.6222166,104.7038478,104.652407,178
2019,2,SDG 8,100,100,100,25
2020,2,SDG 8,101.5804978,103.1737046,103.64658,59
2021,2,SDG 8,102.566752,104.5233057,104.640224,93
2022,2,SDG 8,103.1483862,105.1219436,105.295498,127
2023,2,SDG 8,103.9949899,105.9949497,106.131915,161
2024,2,SDG 8,104.7971514,106.898654,106.969402,195
2019,1,SDG 9,100,100,100,9
2020,1,SDG 9,88.42163338,91.04954605,102.564781,43
2021,1,SDG 9,94.77615284,102.6842364,107.584967,77
2022,1,SDG 9,95.51811865,105.1108923,108.934606,111
2023,1,SDG 9,97.02645503,106.7722865,110.320678,145
2024,1,SDG 9,98.41185805,108.3222396,111.218012,179
2019,2,SDG 9,100,100,100,26
2020,2,SDG 9,95.62339936,103.2489172,109.288784,60
2021,2,SDG 9,96.83490573,105.0981735,110.345979,94
2022,2,SDG 9,98.23979325,107.4208731,111.935156,128
2023,2,SDG 9,99.69381441,109.4937662,113.050238,162
2024,2,SDG 9,102.1598148,112.2525175,115.554103,196
