Indicator,Index,values,Year
SDG1-1,1,100,2019
SDG2-1,1,100,2019
SDG3-3,1,100,2019
SDG3-6,1,100,2019
SDG4-1,1,100,2019
SDG6-2,1,100,2019
SDG7-1,1,100,2019
SDG8-1,1,100,2019
SDG8-2,1,100,2019
SDG8-4,1,100,2019
SDG8-5,1,100,2019
SDG9-1,1,100,2019
SDG9-2,1,100,2019
SDG9-4,1,100,2019
SDG9-5,1,100,2019
SDG10-1,1,100,2019
SDG11-1,1,100,2019
SDG12-1,1,100,2019
SDG12-2,1,100,2019
SDG13-1,1,100,2019
SDG14-1,1,100,2019
SDG17-1,1,100,2019
SDG17-2,1,100,2019
SDG17-4,1,100,2019
SDG17-5,1,100,2019
SDG17-7,1,100,2019
SDG1-1,2,100,2019
SDG2-1,2,100,2019
SDG3-3,2,100,2019
SDG3-6,2,100,2019
SDG4-1,2,100,2019
SDG6-2,2,100,2019
SDG7-1,2,100,2019
SDG8-1,2,100,2019
SDG8-2,2,100,2019
SDG8-4,2,100,2019
SDG8-5,2,100,2019
SDG9-1,2,100,2019
SDG9-2,2,100,2019
SDG9-4,2,100,2019
SDG9-5,2,100,2019
SDG10-1,2,100,2019
SDG11-1,2,100,2019
SDG12-1,2,100,2019
SDG12-2,2,100,2019
SDG13-1,2,100,2019
SDG14-1,2,100,2019
SDG17-1,2,100,2019
SDG17-2,2,100,2019
SDG17-4,2,100,2019
SDG17-5,2,100,2019
SDG17-7,2,100,2019
SDG2-1,3,100,2019
SDG8-1,3,100,2019
SDG8-2,3,100,2019
SDG9-1,3,100,2019
SDG9-2,3,100,2019
SDG9-4,3,100,2019
SDG9-5,3,100,2019
SDG9-6,3,100,2019
SDG10-1,3,100,2019
SDG11-1,3,100,2019
SDG12-1,3,100,2019
SDG12-2,3,100,2019
SDG13-1,3,100,2019
SDG17-1,3,100,2019
SDG17-2,3,100,2019
SDG17-3,3,100,2019
SDG17-6,3,100,2019
SDG17-7,3,100,2019
SDG2-1,4,100,2019
SDG8-1,4,100,2019
SDG8-2,4,100,2019
SDG9-1,4,100,2019
SDG9-2,4,100,2019
SDG9-4,4,100,2019
SDG9-5,4,100,2019
SDG9-6,4,100,2019
SDG10-1,4,100,2019
SDG11-1,4,100,2019
SDG12-1,4,100,2019
SDG12-2,4,100,2019
SDG13-1,4,100,2019
SDG17-1,4,100,2019
SDG17-2,4,100,2019
SDG17-3,4,100,2019
SDG17-6,4,100,2019
SDG17-7,4,100,2019
SDG1-1,1,91.25488001,2020
SDG2-1,1,88.11905473,2020
SDG3-3,1,96.18868125,2020
SDG3-6,1,104.6469549,2020
SDG4-1,1,89.91139826,2020
SDG6-2,1,99.36472457,2020
SDG7-1,1,99.00810962,2020
SDG8-1,1,0,2020
SDG8-2,1,95.31590393,2020
SDG8-4,1,99.1118132,2020
SDG8-5,1,96.10245765,2020
SDG9-1,1,90.94832693,2020
SDG9-2,1,68.82142485,2020
SDG9-4,1,95.69816207,2020
SDG9-5,1,96.4343736,2020
SDG10-1,1,95.16950934,2020
SDG11-1,1,99.04917799,2020
SDG12-1,1,117.8828695,2020
SDG12-2,1,100.6936691,2020
SDG13-1,1,106.1510409,2020
SDG14-1,1,121.7562352,2020
SDG17-1,1,93.76248482,2020
SDG17-2,1,104.5479467,2020
SDG17-4,1,93.51460261,2020
SDG17-5,1,85.76717424,2020
SDG17-7,1,90.05175862,2020
SDG1-1,2,101.863872,2020
SDG2-1,2,102.8236745,2020
SDG3-3,2,102.5872128,2020
