Indicator,Index,values,Year
SDG1-1,1,20.9259583,2019
SDG2-1,1,11.0984701,2019
SDG3-1,1,13.39267087,2019
SDG3-2,1,71.43956362,2019
SDG3-3,1,0.100798529,2019
SDG3-4,1,14.44730343,2019
SDG3-5,1,5.556407028,2019
SDG3-6,1,1.583227471,2019
SDG4-1,1,51.50132279,2019
SDG6-1,1,68.28998687,2019
SDG6-2,1,57.27349074,2019
SDG6-3,1,74.84934431,2019
SDG7-1,1,67.26167952,2019
SDG7-2,1,84.27525117,2019
SDG8-1,1,2.42,2019
SDG8-2,1,11.25094319,2019
SDG8-3,1,27.27311236,2019
SDG8-4,1,47.02880223,2019
SDG8-5,1,62.51302922,2019
SDG8-6,1,51.71409019,2019
SDG9-1,1,233.9969402,2019
SDG9-2,1,4.307326343,2019
SDG9-3,1,2.705370298,2019
SDG9-4,1,1.865870455,2019
SDG9-5,1,1.336244814,2019
SDG9-6,1,11.33302603,2019
SDG10-2,1,5.939699153,2019
SDG11-1,1,81.851353,2019
SDG12-1,1,1.93342458,2019
SDG12-2,1,52.99717668,2019
SDG13-1,1,4.780812559,2019
SDG14-1,1,26.18119468,2019
SDG15-1,1,71.50851725,2019
SDG16-1,1,44.94182097,2019
SDG17-1,1,1.57481481,2019
SDG17-2,1,6.502899088,2019
SDG17-3,1,1.525922279,2019
SDG17-4,1,88.12690831,2019
SDG17-5,1,0.211887,2019
SDG17-6,1,1.136739905,2019
SDG17-7,1,3.350364205,2019
SDG1-1,2,20.9259583,2019
SDG2-1,2,11.0984701,2019
SDG3-1,2,13.39267087,2019
SDG3-2,2,71.43956362,2019
SDG3-3,2,0.100798529,2019
SDG3-4,2,14.44730343,2019
SDG3-5,2,5.556407028,2019
SDG3-6,2,1.583227471,2019
SDG4-1,2,51.50132279,2019
SDG6-1,2,68.28998689,2019
SDG6-2,2,57.27349074,2019
SDG6-3,2,74.8493443,2019
SDG7-1,2,67.26167952,2019
SDG7-2,2,84.27525116,2019
SDG8-1,2,2.42,2019
SDG8-2,2,11.25094319,2019
SDG8-3,2,27.27311236,2019
SDG8-4,2,47.02880223,2019
SDG8-5,2,62.51302922,2019
SDG8-6,2,51.71409019,2019
SDG9-1,2,233.9969402,2019
SDG9-2,2,4.307326343,2019
SDG9-3,2,2.705370298,2019
SDG9-4,2,1.865873816,2019
SDG9-5,2,1.336244814,2019
SDG9-6,2,11.33302603,2019
SDG10-2,2,5.93969434,2019
SDG11-1,2,81.851353,2019
SDG12-1,2,1.9334291,2019
SDG12-2,2,52.99717668,2019
SDG13-1,2,4.780812559,2019
SDG14-1,2,26.18119468,2019
SDG15-1,2,71.50851725,2019
SDG16-1,2,44.94182097,2019
SDG17-1,2,1.569357263,2019
SDG17-2,2,6.502966968,2019
SDG17-3,2,1.525922279,2019
SDG17-4,2,88.12697101,2019
SDG17-5,2,0.211887,2019
SDG17-6,2,1.136739905,2019
SDG17-7,2,3.350361704,2019
SDG1-1,1,23.0788944,2020
SDG2-1,1,12.9365971,2020
SDG3-1,1,14.80661624,2020
SDG3-2,1,70.80147064,2020
SDG3-3,1,0.106037897,2020
SDG3-4,1,15.52313773,2020
SDG3-5,1,5.301840161,2020
SDG3-6,1,1.615679166,2020
SDG4-1,1,57.47155017,2020
SDG6-1,1,66.76968934,2020
SDG6-2,1,56.03210056,2020
SDG6-3,1,72.15946871,2020
SDG7-1,1,66.30637386,2020
SDG7-2,1,80.35979239,2020
SDG8-1,1,-4.359,2020
SDG8-2,1,10.55282434,2020
SDG8-3,1,26.33119326,2020
SDG8-4,1,45.51534612,2020
SDG8-5,1,60.52310394,2020
SDG8-6,1,50.07266458,2020
SDG9-1,1,228.1322001,2020
SDG9-2,1,3.033140256,2020
SDG9-3,1,2.56596832,2020
SDG9-4,1,1.761088727,2020
SDG9-5,1,1.29990026,2020
SDG9-6,1,10.41208543,2020
SDG10-2,1,5.723866719,2020
SDG11-1,1,81.38586793,2020
SDG12-1,1,1.631394692,2020
SDG12-2,1,52.39316434,2020
SDG13-1,1,4.503648883,2020
SDG14-1,1,21.50309213,2020
SDG15-1,1,70.285145,2020
SDG16-1,1,39.70390759,2020
SDG17-1,1,1.460850453,2020
SDG17-2,1,6.218666149,2020
SDG17-3,1,1.737236089,2020
SDG17-4,1,80.78328776,2020
SDG17-5,1,0.187027,2020
SDG17-6,1,1.115314526,2020
