Time,GDP(constant),GDP_growth,Total_population,SDG1-1,SDG2-1,SDG3-1,SDG3-2,SDG3-3,SDG3-4,SDG3-5,SDG3-6,SDG4-1,SDG6-1,SDG6-2,SDG6-3,SDG7-1,SDG7-2,SDG8-3,SDG8-4,SDG8-5,SDG8-6,SDG9-1,SDG9-2,SDG9-3,SDG9-4,SDG9-5,SDG9-6,SDG10-1,SDG11-1,SDG12-1,SDG12-2,SDG13-1,SDG14-1,SDG15-1,SDG16-1,SDG17-1,SDG17-2,SDG17-3,SDG17-4,SDG17-5,SDG17-6,SDG17-7
1,0.052444415,0.003431688,0.026967799,-0.029767825,-0.017214301,-0.170551369,0.189962917,0.000258417,-0.017206719,0.007161735,0.041659263,-0.077784365,0.107627565,0.097756542,0.086770824,0.07374225,0.039390583,0.062137834,0.106015366,0.058777177,0.133959651,0.09970265,0.095802337,0.034423444,0.085232913,0.016930508,-0.066401918,0.039483797,0.030739427,0.12200413,0.097701135,0.024731571,0.032068124,0.08623663,0.004116158,0.074315598,0.020955735,0.047572359,0.140182404,0.129275569,0.091362722,0.166597434
0.052444415,1,-0.023110182,0.424111693,0.145234016,0.220492197,-0.192196838,0.230737257,0.41591505,0.228525902,0.246466126,0.614929911,0.032113509,0.192990069,0.193667892,0.162014283,0.188764026,0.158491604,0.331964966,0.236624823,0.191140937,0.368003829,0.891114477,0.953054055,0.414200949,0.896936969,0.893223932,0.28152635,0.992396959,0.673407816,0.551735244,0.914335956,0.821929071,0.391151342,0.381989315,0.231633131,0.948417314,0.987869363,0.991921262,0.263302418,0.748601357,0.673639691,0.836610989
0.003431688,-0.023110182,1,0.070775742,0.15246572,0.128864752,0.14955757,-0.123544885,0.097749652,0.0977253,-0.129433281,0.046773551,0.071302127,-0.247203981,-0.121902196,-0.11690776,-0.133844986,-0.093382114,-0.116295271,-0.05493507,-0.103634865,-0.188138433,-0.023987669,-0.017809423,-0.174401202,-0.008511421,0.025913478,-0.1194155,-0.054070509,0.053099407,0.053817795,-0.01926877,0.029087727,0.06496971,0.031803946,-0.117308371,-0.083775965,-0.053579358,-0.098732203,0.022049174,-0.001905797,0.008001623,-0.023465478
0.026967799,0.424111693,0.070775742,1,0.789728347,0.942150374,0.047706552,0.029430382,0.947168845,0.863409725,-0.043003666,0.890578936,0.631218715,-0.146539114,-0.069344284,-0.068441002,-0.041879111,0.009829979,-0.052293768,-0.0748405,-0.09774348,0.001592089,0.309987323,0.382694248,0.150751522,0.572731144,0.697698092,0.190538147,0.427520564,0.904797519,0.565073659,0.644456602,0.739739371,0.77217668,0.563357721,-0.038861445,0.375246415,0.485708856,0.313539412,0.582488586,0.337673809,0.578551616,0.434413268
-0.029767825,0.145234016,0.15246572,0.789728347,1,0.939482831,0.209712518,-0.128946104,0.851317881,0.923530451,-0.159469454,0.504680497,0.511922138,-0.481507133,-0.21876437,-0.179965146,-0.174233997,-0.091512941,-0.136829641,-0.163024752,-0.239532812,-0.137504017,0.073200942,0.144161713,-0.011933014,0.209549674,0.279113419,-0.130017036,0.133203076,0.520960491,0.470630217,0.273928993,0.360949884,0.386726065,0.530384714,-0.133115694,0.115447491,0.189760192,-0.01148362,0.739599616,0.126185864,0.182686495,0.160440136
-0.017214301,0.220492197,0.128864752,0.942150374,0.939482831,1,0.165496168,-0.06128558,0.924679151,0.92468253,-0.128475968,0.692865043,0.680296412,-0.438681217,-0.129998632,-0.154848153,-0.143240422,-0.043905758,-0.121578619,-0.148634978,-0.20810559,-0.11795159,0.138350749,0.197498822,0.036362588,0.332874855,0.510889297,0.132132874,0.204957042,0.733734529,0.434214088,0.368768705,0.517884036,0.633764805,0.555077088,-0.119493191,0.162773897,0.263742662,0.024960667,0.619903983,0.184857382,0.334015925,0.256180512
-0.170551369,-0.192196838,0.14955757,0.047706552,0.209712518,0.165496168,1,-0.884699028,0.01807462,0.145888065,-0.675847928,-0.058678638,0.434880768,-0.826757106,-0.693214141,-0.848208771,-0.800666144,-0.799863039,-0.572850549,-0.646223905,-0.80628916,-0.634592433,-0.220396859,-0.171805585,-0.647465939,-0.179840455,-0.127984349,-0.284260304,-0.19263801,-0.087365341,0.020545776,-0.18587272,-0.127422585,-0.057342114,-0.042643916,-0.618661595,-0.238431665,-0.193619506,-0.173205055,-0.024986983,-0.215002195,-0.128932879,-0.298639217
0.189962917,0.230737257,-0.123544885,0.029430382,-0.128946104,-0.06128558,-0.884699028,1,0.031712912,-0.069082753,0.742485168,0.110097508,-0.27886383,0.82714326,0.656620163,0.846189101,0.802617873,0.848837855,0.610259588,0.648498619,0.74706978,0.63328206,0.24529381,0.197017622,0.696747047,0.210449729,0.160131606,0.472483937,0.224092598,0.133640901,-0.02341581,0.221506745,0.144885369,0.086188935,0.120724561,0.669194298,0.28941356,0.235169863,0.198954868,0.116920658,0.247096974,0.163751906,0.337192891
0.000258417,0.41591505,0.097749652,0.947168845,0.851317881,0.924679151,0.01807462,0.031712912,1,0.91498956,-0.031719255,0.795723423,0.561394133,0.04868754,-0.006267416,-0.021735669,-0.004777073,0.064312933,-0.012259396,-0.040804591,-0.050999848,0.055412553,0.323403526,0.375083076,0.167089974,0.507080521,0.588553489,0.340977414,0.405279844,0.804151747,0.515437334,0.548732478,0.65694833,0.621502136,0.604309805,0.002341607,0.355347173,0.43656658,0.267608815,0.662281655,0.287187187,0.489167985,0.431847148
-0.017206719,0.228525902,0.0977253,0.863409725,0.923530451,0.92468253,0.145888065,-0.069082753,0.91498956,1,-0.111095993,0.599463023,0.755685957,-0.322880241,-0.119155629,-0.128232779,-0.102306124,-0.038158907,-0.089525531,-0.110111046,-0.155145298,-0.068949473,0.152902619,0.207878652,0.064178231,0.303855498,0.34106002,0.111202352,0.244847393,0.643090508,0.408744033,0.350623592,0.456909047,0.466220157,0.579489603,-0.079523123,0.177984739,0.25050485,0.05865039,0.616088044,0.146300615,0.375728549,0.242287336
0.007161735,0.246466126,-0.129433281,-0.043003666,-0.159469454,-0.128475968,-0.675847928,0.742485168,-0.031719255,-0.111095993,1,0.037967365,-0.194064145,0.598779386,0.623977824,0.677639997,0.713812891,0.629903585,0.702600879,0.734761091,0.701181622,0.552065905,0.278151362,0.239459073,0.710642718,0.15472726,0.077144868,0.40168819,0.248250409,0.082518334,0.013890333,0.184574417,0.098347946,-0.00975457,0.084903364,0.69497125,0.30385953,0.243207488,0.271557079,0.029604519,0.297658886,0.104960279,0.363373109
0.041659263,0.614929911,0.046773551,0.890578936,0.504680497,0.692865043,-0.058678638,0.110097508,0.795723423,0.599463023,0.037967365,1,0.412727163,0.101788679,-0.021094579,0.039982178,0.056153228,0.130266755,0.035169403,0.011158271,0.004957512,0.132984018,0.505794875,0.566629622,0.234627806,0.8382665,0.858365024,0.153402153,0.648383468,0.98451896,0.677423959,0.855092734,0.921050035,0.850248002,0.44773833,0.005152334,0.639551534,0.709253287,0.725267134,0.458458348,0.515572632,0.823945293,0.642098747
-0.077784365,0.032113509,0.071302127,0.631218715,0.511922138,0.680296412,0.434880768,-0.27886383,0.561394133,0.755685957,-0.194064145,0.412727163,1,-0.387102018,-0.289829216,-0.338816144,-0.290191082,-0.271648394,-0.182211447,-0.22168194,-0.33247967,-0.21466931,-0.030093933,0.006510622,-0.15524117,0.00109947,0.101891389,-0.075334352,-0.000963744,0.368761723,0.309936552,0.049159403,0.140263157,0.354244516,0.187385857,-0.236858299,-0.02008821,0.016046402,-0.025062472,0.292876882,-0.002355593,-0.017959813,-0.028263551
0.107627565,0.192990069,-0.247203981,-0.146539114,-0.481507133,-0.438681217,-0.826757106,0.82714326,0.04868754,-0.322880241,0.598779386,0.101788679,-0.387102018,1,0.704756929,0.845769667,0.849583663,0.756615031,0.614369924,0.687643051,0.858263187,0.571868965,0.252851866,0.183008559,0.668938629,0.214010545,0.170232476,0.285758294,0.198839835,0.108799353,-0.146891195,0.204270242,0.156075531,0.022478835,-0.009879793,0.63277123,0.255105134,0.222574893,0.189530246,-0.066602806,0.229407567,0.18251547,0.32548771
0.097756542,0.193667892,-0.121902196,-0.069344284,-0.21876437,-0.129998632,-0.693214141,0.656620163,-0.006267416,-0.119155629,0.623977824,-0.021094579,-0.289829216,0.704756929,1,0.660919171,0.718049295,0.543079737,0.652406995,0.690862304,0.747693703,0.485924941,0.281877414,0.16839939,0.757097245,0.164064287,0.086556163,0.457727846,0.208972236,-0.016689746,-0.032046695,0.154451603,0.064173571,-0.054517052,0.087659113,0.716790226,0.231526249,0.165371326,0.188109034,0.002133197,0.223413118,0.077753439,0.336341673
0.086770824,0.162014283,-0.11690776,-0.068441002,-0.179965146,-0.154848153,-0.848208771,0.846189101,-0.021735669,-0.128232779,0.677639997,0.039982178,-0.338816144,0.845769667,0.660919171,1,0.879320781,0.907376879,0.53395824,0.645633619,0.847069553,0.565644544,0.20131043,0.151905385,0.575719764,0.144277495,0.086734267,0.36239042,0.168956168,0.074210652,-0.100065,0.164534068,0.103848278,0.008089807,0.047545609,0.529514693,0.20660957,0.170434313,0.170068841,0.053017908,0.194316923,0.088603095,0.251262777
0.07374225,0.188764026,-0.133844986,-0.041879111,-0.174233997,-0.143240422,-0.800666144,0.802617873,-0.004777073,-0.102306124,0.713812891,0.056153228,-0.290191082,0.849583663,0.718049295,0.879320781,1,0.873588868,0.57445636,0.692732847,0.880793579,0.602142312,0.200873128,0.157509567,0.623673351,0.158331728,0.078844024,0.384178769,0.187156185,0.096660009,-0.056472503,0.177151818,0.113082995,0.000391104,0.092827587,0.584383155,0.22696316,0.180666644,0.187173924,0.051084162,0.212321083,0.091064735,0.278026285
