Figure,Year,values,Index
1,2019,100,1
1,2020,-180.1239669,1
1,2021,212.892562,1
1,2022,173.0991736,1
1,2023,158.4297521,1
1,2024,149.6280992,1
1,2019,100,2
1,2020,140.9090909,2
1,2021,146.9008264,2
1,2022,146.9008264,2
1,2023,146.9834711,2
1,2024,149.0495868,2
2,2019,100,1
2,2020,50.10699903,1
2,2021,115.6763452,1
2,2022,111.3043918,1
2,2023,110.4564687,1
2,2024,110.218081,1
2,2019,100,2
2,2020,107.7191591,2
2,2021,109.7345086,2
2,2022,110.3331466,2
2,2023,111.2153354,2
2,2024,112.348608,2
3,2019,100,1
3,2020,0,1
3,2021,137.630854,1
3,2022,124.3663912,1
3,2023,119.476584,1
3,2024,116.5426997,1
3,2019,100,2
3,2020,113.6363636,2
3,2021,115.6336088,2
3,2022,115.6336088,2
3,2023,115.661157,2
3,2024,116.3498623,2
4,2019,100,1
4,2020,80.12766019,1
4,2021,103.1327272,1
4,2022,103.1822614,1
4,2023,103.964274,1
4,2024,104.7038478,1
4,2019,100,2
4,2020,103.1737046,2
4,2021,104.5233057,2
4,2022,105.1219436,2
4,2023,105.9949497,2
4,2024,106.8986539,2
